before,after
"没错，每次男的跳出来叫你们收财力你们要男人养你们要特权我都一脸懵逼以为是男权大脑不好使自己杜撰的，原来不是
",没错 ， 每次 男 跳 收 财力 男人 养 特权 一脸 懵 逼 男权 大脑 不好 杜撰 ， 
"我的妈这不就是婚姻公主吗？女权谁这样啊
",妈 婚姻 公主 ？ 女权 
"这个人讲的有道理的啊…田园女权叫的再嚣张其实就是压榨底层男性（其实也是顺带的）中层男性和底层女性了，中上层女性受教育程度高，经济独立，自然不会搞什么田园女权，底层好忽悠，男性就是，田园女权也只看不上中下层了，巴不得舔到上层的。
",讲 道理 … 田园 女权 嚣张 压榨 底层 男性 （ 顺带 ） 中层 男性 底层 女性 ， 中上层 女性 受 教育 程度 高 ， 经济 独立 ， 自然 搞 田园 女权 ， 底层 忽悠 ， 男性 ， 田园 女权 看不上 中下层 ， 巴不得 舔 上层 。 
"""你自己不会思考，智商低能儿就不要到处发言，回家带孩子比较适合你",""" 思考 ， 智商 低能儿 发言 ， 回家 孩子 适合 "
"中国女性权利都大到什么样了？还想咋样啊？生孩子都得随女方姓，这就极端了。
",中国 女性 权利 大到 ？ 想 咋样 ？ 生 孩子 女方 姓 ， 。 
"狗粉丝如果不是带带大师兄的粉丝，他们应该别有聚集的地方吧？群、话题这种？如果疯狂批皮那老百姓怎么认得出来啊
",狗 粉丝 带带 师兄 粉丝 ， 别有 聚集 ？ 群 、 话题 ？ 疯狂 批皮 老百姓 认得 
"不上升性别，就骂你个丑逼行吗？欢迎用你的生殖器“逼”来骂我
",性别 ， 骂 丑 逼行 ？ 生殖器 “ 逼 ” 骂 
"同性恋喊：我们不能相爱，（其实不是不能，只是过去是不能光明正大）你同情。哪怕他们骗婚代孕。女人喊：我要自己的孩子跟自己姓。你：极端。哪怕她们没有伤害任何人。
",同性恋 喊 ： 相爱 ， （ ， 光明正大 ） 同情 。 骗婚 代孕 。 女人 喊 ： 我要 孩子 姓 。 ： 。 伤害 任何人 。 
"哦？那执法部门也没让女的生孩子跟孩子爹的姓，拳师们倒是一个个可起劲了，这一有风险的事情就索了脖子了？
",？ 执法 部门 女 生 孩子 孩子 爹 姓 ， 拳师 倒 一个个 起劲 ， 这一有 风险 事情 就索 脖子 ？ 
"极端女权真的极端吗？也就言辞激烈点罢了，相比某些已婚女堕女胎杀女婴简直不要太温和
",女权 ？ 言辞 激烈 点 ， 相比 已婚 女 堕 女胎 杀 女婴 太 温和 
"为什么会有女权主义？男人压迫女人了吗？
",女权主义 ？ 男人 压迫 女人 ？ 
"我关注上等人是因为侯师的高嫁理论，她说她跟我立场不同问我是不是反女权，我说不是，我反对女拳，我们交流完观点和立场，偶尔还会聊聊天，我觉得这种求同存异很好，然而有的想垄断话语权的人根本学不会。
",关注 是因为 侯师 高 嫁 理论 ， 立场 问 反 女权 ， ， 反对 女拳 ， 交流 完 观点 立场 ， 还会 聊聊天 ， 求同存异 ， 想 垄断 话语权 学 。 
"6000万。这个是很多年前。报道的同妻数量。 她们被伤害被掩盖。我从来不同情任何男同。因为他们的前人践踏着别人的尸体。他们可能会勇敢 可能不会骗婚 但骗婚还是大多数。
",6000 。 很多年 前 。 报道 同妻 数量 。   伤害 掩盖 。 从来不 同情 男同 。 前人 践踏着 尸体 。 勇敢   骗婚   骗婚 。 
"我以前下载一个同性恋软件，五十米以内就有用户，说明不是同一层就是楼上或者楼下，而且有专门的已婚同性恋群，群里聊天内容不堪入目，其中一个男人让自己岁数不大的儿子舔，而竟然没有一个人觉得不对，恶心吧
",下载 同性恋 软件 ， 五十米 以内 用户 ， 一层 楼上 楼下 ， 已婚 同性恋 群 ， 群里 聊天 内容 不堪入目 ， 男人 岁数 儿子 舔 ， ， 恶心 
"说得太正确了，现在的主要问题应当是特色社会主义使用市场经济手段带来的阶级分化与矛盾，而不是性别对立，有这个劲头去为职工，农民争取权益才能改变这些田园女权面临的所谓生活不如意的问题
",太 正确 ， 特色 社会主义 市场经济 手段 带来 阶级分化 矛盾 ， 性别 对立 ， 劲头 职工 ， 农民 权益 改变 田园 女权 面临 生活 不如意 
"民众解放，女性自然就解放了，可惜女权不知道斗争对象是谁。
",民众 解放 ， 女性 自然 解放 ， 可惜 女权 斗争 对象 。 
"可以理解love is love，同性恋无所谓爱喜欢谁喜欢谁，但，你要承担相应的结果。喜欢同性就必然没有孩子，别说权利，是你自己剥夺了所谓的权利。通过代孕和骗婚达成目的未免太恶心了点。
",理解 love   is   love ， 同性恋 无所谓 爱 喜欢 喜欢 ， ， 承担 。 喜欢 同性 孩子 ， 权利 ， 剥夺 权利 。 代孕 骗婚 达成 目的 未免太 恶心 点 。 
"西方人名义上还有个华而不实的xuanju权。中国驴有啥?婚驴搞来搞去给自己搞了个离婚冷静期?真是头好驴啊。
",西方人 名义 华而不实 xuanju 权 。 中国驴 ? 婚驴 搞来搞去 搞了个 离婚 冷静 期 ? 头 好驴 。 
"男权才不在乎女权的基本是反婚呢，动了他的利益，指着发声频繁的女权骂了再说。平泉又不吱声，就算吱声也是商量着来然后被否定，然后：女权帮我！最后平泉和男权一起：真田园，真极端！女权才是驴次方啊。最近首页的姐妹都权驴技穷了
",男权 不在乎 女权 反婚 ， 动 利益 ， 指着 发声 频繁 女权 骂 。 平泉 吱声 ， 吱声 商量 否定 ， ： 女权 帮 ！ 平泉 男权 ： 真 田园 ， 真 ！ 女权 驴 次方 。 首页 姐妹 权 驴 技穷 
"而且腩人这一招很有用，很多平泉女怕被说极端田园，主动不要彩礼，出房出车出子宫，美名其曰新时代独立女性
",腩 一招 有用 ， 平泉 女怕 田园 ， 主动 彩礼 ， 出房 出车 子宫 ， 美名 曰 新 时代 独立 女性 
"男同=男性+同性恋，双倍杀伤力，别想着他们会跟女人站同一阵营，几乎没有不厌女的。
",男同 = 男性 + 同性恋 ， 双倍 杀伤力 ， 想着 女人 站 阵营 ， 不厌 女 。 
"""还有我没出去上学的时候，他们很多留守儿童来镇上上学，上到一半不上了，女孩回家嫁人男孩出去打工，我听了就有种怒其不争的感觉，太难受了",""" 上学 ， 留守 儿童 镇上 上学 ， 一半 不上 ， 女孩 回家 嫁人 男孩 打工 ， 听 有种 怒 不争 感觉 ， 太难受 "
"真有把嫁出去当上门媳妇当成莫大荣誉的人啊，好驴好驴，见识了。你会有个好买家的。
",真有 嫁出去 上门 媳妇 当成 莫大 荣誉 ， 好驴 好驴 ， 见识 。 买家 。 
"别问我为啥来发言，杨紫粉丝辱骂我爱豆的母亲，造我爱豆母亲的黄谣，然后转头就说我爱豆的粉丝辱骂杨紫这个女性。这不是田园女权是什么?借着女权的名义达到自己的目的，和屌癌同罪
",别问 为啥 发言 ， 杨紫 粉丝 辱骂 我爱豆 母亲 ， 造 爱豆 母亲 黄谣 ， 转头 爱豆 粉丝 辱骂 杨紫 女性 。 田园 女权 ? 借着 女权 名义 目的 ， 屌 癌 同罪 
"""我的理解是：你把权利排了级：异性恋男人/同性恋男人/女人——但正如我所说，所有的权利加起来就这么多，你认为自己是第二等级，拼命要求第一要求的权利，就挤占了你心目中第三等级的权利。因为自己没享够所有特权而觉得该被同情，至少我不接受。当下社会，男同志绝不是弱势群体",""" 理解 ： 权利 排 级 ： 异性恋 男人 / 同性恋 男人 / 女人 — — 所说 ， 权利 加 ， 等级 ， 拼命 第一 权利 ， 挤占 心目 中 第三等级 权利 。 享够 特权 同情 ， 至少 接受 。 社会 ， 男同志 弱势群体 "
"你有正当诉求，可以找本选区内的人大代表反映情况表达心声，女代表尤佳，肯定有女代表。
",正当 诉求 ， 找本 选区 人大代表 表达 心声 ， 女 代表 尤佳 ， 女 代表 。 
"罗志祥多人运动的时候你人呢？蒋凡抛妻弃子出轨张大奕的时候你人呢？男方出轨就选择性失明 女方出轨就跳出来骂 不一视同仁 男拳也蛮厉害的哦👏🏻
",罗志祥 运动 ？ 蒋凡 抛妻 弃子 出轨 张大 奕 ？ 男方 出轨 选择性 失明   女方 出轨 跳 骂   一视同仁   男拳 厉害 👏 🏻 
"""一加窥探隐私谣言不就是极端女权带的，我尊重女性却被某些摸黑女性的骂，真是狗不过",""" 一加 窥探 隐私 谣言 女权 ， 尊重 女性 摸黑 女性 骂 ， 狗 "
"啊，我还记得当年讨论小美人鱼的时候，只能记得大概哈，她说她的爸妈从小就告诉她以后有个好婚姻稳定生活而没告诉她需要勇敢做自己，她好希望父母可以告诉她后者，所以从小看什么童话书很有必要被父母筛选。我当时很想问她，她有没有意识到，被父母筛选告诉一个女孩应该过怎样的人生，这原本就有问题？
",， 记得 当年 讨论 美人鱼 ， 记得 ， 爸妈 有个 婚姻 稳定 生活 勇敢 做 ， 希望 父母 ， 童话 书 父母 筛选 。 想 问 ， 有没有 意识 ， 父母 筛选 女孩 人生 ， 原本 ？ 
"🈶的人一边开大炮超话一边嘲讽别人空气档一边还要骂瓜妈拜吊
",🈶 开 大炮 超话 嘲讽 空气 档 骂 瓜妈 拜 吊 
"受腐唯凭意淫捏造女性形象代入男性 只能说是女性自身在污名化女性。
",受腐 唯凭 意淫 捏造 女性 形象 代入 男性   女性 污名 化 女性 。 
"今天我还看到有什么“谁要结婚就去结好了，别再说自己是女权就行，别又当又立”，敢情她们也知道她们口中的女权已经成了一种新的牌坊了啊…目瞪狗呆
",“ 结婚 结好 ， 女权 就行 ， ” ， 口中 女权 成 新 牌坊 … 目瞪狗 呆 
"确实，结不结婚生不生孩子都是个人权利，就怕那些自己不结婚还反对别人结婚的
",， 结不 结婚 生不生 孩子 权利 ， 结婚 反对 结婚 
"好多女权主义者都是和老公一起搞女权 强强我爱了 可以预见女权运动里有磕不完的强强bg
",好多 女权主义者 老公 搞 女权   强强 爱   预见 女权运动 里 磕 完 强强 bg 
"别被这女人当枪使了，是papi酱为了复出拿女权当垫脚石呢，恶心的资本家不分男女
",女人 当枪 ， papi 酱 复出 女权 垫脚石 ， 恶心 资本家 分 男女 
"拳师在此，下次打拳。非要污名化娱乐化女权，那下次再讲理
",拳师 ， 下次 打拳 。 非 污名 化 娱乐 化 女权 ， 下次 讲理 
"不过大部分女人嫁的是把她们当妈一样使唤的男人，不是强者爸爸，是巨婴。
",女人 嫁 当妈 使唤 男人 ， 强者 爸爸 ， 巨婴 。 
"""你说了半天只证明你就是想给所有你不喜欢的言论扣上个女拳帽子。你的所谓”女拳标准”只是你给别人泼脏水的遮羞布。事实上你自己完全不是按你言之凿凿的这个标准来鉴定”女拳”的。照照镜子。口是心非的无耻小人就别在这儿假装”支持真女权”了。",""" 说了半天 证明 想 喜欢 言论 扣上 女拳 帽子 。 ” 女拳 标准 ” 泼 脏水 遮羞布 。 事实上 言之凿凿 标准 鉴定 ” 女拳 ” 。 照镜子 。 口是心非 无耻 小人 就别 假装 ” 支持 真 女权 ” 。 "
"""告诉我你是男的女的，家住那里。你现在就是用你的谬论歧视女性。",""" 男 女 ， 家住 。 谬论 歧视 女性 。 "
"是的，现在所谓“极端女权”和激进主义根本就没有任何社会影响大部分女性就已经开始割席了，真的心凉
",， “ 女权 ” 激进主义 社会 影响 女性 割席 ， 心凉 
"""劝你看《第二性》波伏娃和《道德经》，激进女权看出了男权社会的真实面目，邪恶暴力所以要反抗！这是事实，公有制社会才是真正男女平等，人与自然和谐相处的。现在全世界都是资本主义国家，中国也有资本家。",""" 劝 《 第二性 》 波伏娃 《 道德经 》 ， 激进 女权 男权 社会 真实 面目 ， 邪恶 暴力 反抗 ！ 事实 ， 公有制 社会 男女平等 ， 人与自然 和谐 相处 。 全世界 资本主义 国家 ， 中国 资本家 。 "
"""她底下的评论是你这样表达的？我只是懒得搭理你们这种女拳癌，浪费时间。你的言论也只是证明了我的猜想，仅此而已，以后见到你们绕着走或吐口痰，嘴上说的多么多么好听，其实呢？",""" 底下 评论 表达 ？ 懒得 搭理 女拳癌 ， 浪费时间 。 言论 证明 猜想 ， 仅此而已 ， 绕 走 吐口 痰 ， 嘴上 好听 ， ？ "
"男权社会的建立需要私有制，私有制就是违反大道一切罪恶的根源。欲望无穷尽，剥削环境，压迫女性、种族压迫。所谓的文明最终一定会灭亡，人工智能有了独立自主的思想，男权社会人类发明的东西。一定是罪恶的，到时候真不好办。别再发展科技了，能够吃饭生活，就行了。保护环境顺应自然是应该做的。
",男权 社会 建立 私有制 ， 私有制 违反 大道 罪恶 根源 。 欲望 无穷尽 ， 剥削 环境 ， 压迫 女性 、 种族 压迫 。 文明 最终 灭亡 ， 人工智能 独立自主 思想 ， 男权 社会 人类 发明 。 罪恶 ， 到时候 真 不好办 。 发展 科技 ， 吃饭 生活 ， 就行了 。 保护环境 顺应 自然 做 。 
